fee_rate,strategy_name,segment_name,number_of_position_changes,average_absolute_position_change,median_absolute_position_change,pct_position_changes_below_0_005,pct_position_changes_below_0_01,pct_position_changes_below_0_02,cumulative_fee_from_position_changes_below_0_005,cumulative_fee_from_position_changes_below_0_01,cumulative_fee_from_position_changes_below_0_02
0.0,v4.1_default,ETH_extra_early_2y,368,0.012205250045757237,0.009030850421302073,0.3125,0.532608695652174,0.8288043478260869,0.0,0.0,0.0
0.0,v4.1_default,ETH_3y_recent,581,0.011856106329641276,0.008738178054178022,0.31153184165232356,0.5576592082616179,0.8123924268502581,0.0,0.0,0.0
0.0,v4.1_default,ETH_5y_full,949,0.011991496095216273,0.008851917103012669,0.3119072708113804,0.547945205479452,0.8187565858798735,0.0,0.0,0.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,368,0.03795347161336894,0.0290574438182941,0.11141304347826086,0.18478260869565216,0.3641304347826087,0.0,0.0,0.0
0.0,v4.2_candidate_A,ETH_3y_recent,581,0.0348822968147585,0.02556393404719881,0.11015490533562823,0.2134251290877797,0.40619621342512907,0.0,0.0,0.0
0.0,v4.2_candidate_A,ETH_5y_full,949,0.036073226557528405,0.026701695485770227,0.11064278187565858,0.20231822971549,0.3898840885142255,0.0,0.0,0.0
0.0,v4.2_candidate_C,ETH_extra_early_2y,320,0.04221826458251241,0.03484636518914978,0.08125,0.14375,0.3,0.0,0.0,0.0
0.0,v4.2_candidate_C,ETH_3y_recent,522,0.03620607342950594,0.0275389407593318,0.08812260536398467,0.19157088122605365,0.3793103448275862,0.0,0.0,0.0
0.0,v4.2_candidate_C,ETH_5y_full,842,0.03849099168243002,0.03002311960560044,0.0855106888361045,0.17339667458432304,0.3491686460807601,0.0,0.0,0.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,275,0.04856282009721924,0.04068564484347212,0.0,0.0,0.18545454545454546,0.0,0.0,0.0
0.0,v4.2_candidate_D,ETH_3y_recent,417,0.04402266858639093,0.034745410548283284,0.0,0.0,0.22302158273381295,0.0,0.0,0.0
0.0,v4.2_candidate_D,ETH_5y_full,692,0.04582691954806403,0.03708194871197743,0.0,0.0,0.20809248554913296,0.0,0.0,0.0
0.0,true_buy_and_hold,ETH_extra_early_2y,0,,,,,,0.0,0.0,0.0
0.0,true_buy_and_hold,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.0,true_buy_and_hold,ETH_5y_full,0,,,,,,0.0,0.0,0.0
0.0,fixed_0_5_exposure,ETH_extra_early_2y,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,fixed_0_5_exposure,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.0,fixed_0_5_exposure,ETH_5y_full,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.001,v4.1_default,ETH_extra_early_2y,368,0.012095351651329758,0.008934485416718013,0.3125,0.5407608695652174,0.8288043478260869,0.0002838702360197452,0.000889661248310265,0.002347513222858082
0.001,v4.1_default,ETH_3y_recent,581,0.011743041427951038,0.00859159969226257,0.31497418244406195,0.5611015490533563,0.8244406196213425,0.00045930838590709866,0.001497037171514503,0.003757111324618071
0.001,v4.1_default,ETH_5y_full,949,0.011879659090968287,0.008683302951861586,0.31401475237091675,0.553213909378293,0.8261327713382508,0.0007431786219268438,0.002386698419824768,0.006104624547476153
0.001,v4.2_candidate_A,ETH_extra_early_2y,368,0.03710044037773636,0.028335956799065455,0.11684782608695653,0.1875,0.3804347826086957,0.00011248269394760866,0.0002934631680395376,0.0013268426351072083
0.001,v4.2_candidate_A,ETH_3y_recent,581,0.033728886178804054,0.024453820039306566,0.1153184165232358,0.22375215146299485,0.41480206540447506,0.00019181783442750381,0.0006899067144946482,0.00229733516255211
0.001,v4.2_candidate_A,ETH_5y_full,949,0.03503629602622985,0.026082435925859522,0.11591148577449947,0.20969441517386722,0.40147523709167543,0.00030430052837511246,0.0009833698825341857,0.003624177797659318
0.001,v4.2_candidate_C,ETH_extra_early_2y,320,0.04132430408551948,0.03368035430342323,0.08125,0.146875,0.3,6.55464534425285e-05,0.0002094696010386009,0.0008937704742862217
0.001,v4.2_candidate_C,ETH_3y_recent,522,0.035036298918419195,0.026815570304121523,0.09578544061302682,0.20114942528735633,0.39272030651340994,0.00012185292997524832,0.0005296278158188414,0.0019602725925616663
0.001,v4.2_candidate_C,ETH_5y_full,842,0.037426039599502435,0.02939701076835273,0.09026128266033254,0.18052256532066507,0.35748218527315917,0.0001873993834177769,0.0007390974168574422,0.002854043066847888
0.001,v4.2_candidate_D,ETH_extra_early_2y,274,0.04771762213997577,0.03948872854819217,0.0,0.0,0.1897810218978102,0.0,0.0,0.0007444304994443027
0.001,v4.2_candidate_D,ETH_3y_recent,411,0.04312579739346828,0.033801836803705576,0.0,0.0,0.22627737226277372,0.0,0.0,0.0013204857440664367
0.001,v4.2_candidate_D,ETH_5y_full,685,0.04496252729207127,0.03624394418571973,0.0,0.0,0.2116788321167883,0.0,0.0,0.0020649162435107393
0.001,true_buy_and_hold,ETH_extra_early_2y,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,true_buy_and_hold,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.001,true_buy_and_hold,ETH_5y_full,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,fixed_0_5_exposure,ETH_extra_early_2y,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.001,fixed_0_5_exposure,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.001,fixed_0_5_exposure,ETH_5y_full,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.002,v4.1_default,ETH_extra_early_2y,368,0.011987079837157175,0.008847753337183427,0.31521739130434784,0.5434782608695652,0.8288043478260869,0.0005708508667424234,0.0017778941118771604,0.004639106830833847
0.002,v4.1_default,ETH_3y_recent,581,0.011626171838474763,0.0085381554120149,0.31669535283993117,0.5593803786574871,0.8278829604130808,0.0009099396726274196,0.002918858371862467,0.007453380627401812
0.002,v4.1_default,ETH_5y_full,949,0.011766123517626634,0.008602843338732194,0.31612223393045313,0.553213909378293,0.8282402528977871,0.0014807905393698427,0.004696752483739627,0.012092487458235657
0.002,v4.2_candidate_A,ETH_extra_early_2y,368,0.036309312985682955,0.027581835134749873,0.11956521739130435,0.19021739130434784,0.391304347826087,0.00023368980143366764,0.0005958780879026937,0.0027156630493312146
0.002,v4.2_candidate_A,ETH_3y_recent,581,0.03259777822502308,0.023502246937818355,0.11359724612736662,0.23752151462994836,0.4354561101549053,0.0003531195639928799,0.0014383338240580956,0.004762285779296847
0.002,v4.2_candidate_A,ETH_5y_full,949,0.03403702458110615,0.025382998919389138,0.11591148577449947,0.2191780821917808,0.4183350895679663,0.0005868093654265477,0.002034211911960789,0.007477948828628063
0.002,v4.2_candidate_C,ETH_extra_early_2y,320,0.04047885387097533,0.03293330192835936,0.0875,0.146875,0.321875,0.00013976542434640318,0.0003937043836548644,0.0019745254592672284
0.002,v4.2_candidate_C,ETH_3y_recent,522,0.033986863722996676,0.026252351933341855,0.09770114942528736,0.21264367816091953,0.4099616858237548,0.0002508661897867884,0.0011289526610620648,0.004073390052561656
0.002,v4.2_candidate_C,ETH_5y_full,842,0.03645412838731161,0.02806184759953581,0.09382422802850356,0.1876484560570071,0.37648456057007124,0.0003906316141331917,0.0015226570447169291,0.006047915511828885
0.002,v4.2_candidate_D,ETH_extra_early_2y,274,0.046747623268278006,0.03845802972007409,0.0,0.0,0.20802919708029197,0.0,0.0,0.0016241088542753536
0.002,v4.2_candidate_D,ETH_3y_recent,408,0.042096240250299184,0.032483924599414876,0.0,0.0,0.23529411764705882,0.0,0.0,0.002690230147821015
0.002,v4.2_candidate_D,ETH_5y_full,682,0.043964977709135246,0.03502873057943845,0.0,0.0,0.22434017595307917,0.0,0.0,0.004314339002096369
0.002,true_buy_and_hold,ETH_extra_early_2y,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,true_buy_and_hold,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.002,true_buy_and_hold,ETH_5y_full,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,fixed_0_5_exposure,ETH_extra_early_2y,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.002,fixed_0_5_exposure,ETH_3y_recent,0,,,,,,0.0,0.0,0.0
0.002,fixed_0_5_exposure,ETH_5y_full,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
